ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM_SUBCATEGORY,ITEM_SPECIFIC_CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0190239034,China's Economy: What Everyone Needs to Know®,Arthur R. Kroeber,4.7,978-0190239039,0190239034,$16.95,$16.95,"New, Used & Rental Textbooks",Social Sciences,In Stock.,https://www.amazon.com/dp/0190239034,5.0,Sale price not found
0195014456,"American Popular Song: The Great Innovators, 1900-1950",Alec Wilder - James T. Maher - Gene Lees - & - more,3.9,978-0195014457,0195014456,$56.71,$75.00,Arts & Photography,Music,Only 7 left in stock (more on the way).,https://www.amazon.com/dp/0195014456,5.0,ASIN number not found
019966109X,The Last Alchemist in Paris: And other curious tales from chemistry,Lars Ohrstrom,4.6,978-0199661091,019966109X,$22.47,$34.95,Science & Math,History & Philosophy,Only 2 left in stock (more on the way).,https://www.amazon.com/dp/019966109X,5.0,Error in ISBN10
0230120512,The Art of the Pitch: Persuasion and Presentation Skills that Win Business,P. Coughter,4.6,978-0230120518,0230120512,$26.69,$28.00,Business & Money,Finance,In Stock.,https://www.amazon.com/dp/0230120512,5.0,ASIN number not found
0262035359,"Innovating: A Doer's Manifesto for Starting from a Hunch, Prototyping Problems, Scaling Up, and Learning to Be Productively Wrong (The MIT Press)",Luis Perez-Breva - Nick Fuhrer - Edward Roberts - & - more,4.9,978-0262035354,0262035359,$31.45,$34.95,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0262035359,5.0,ASIN number not found
0300188226,"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, and Emerged Triumphant from Two Centuries of Controversy",Sharon Bertsch McGrayne,4.0,978-0300188226,0300188226,$11.06,$16.00,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/0300188226,5.0,Error in ISBN10
0316392006,Origin Story: A Big History of Everything,David Christian,4.3,978-0316392006,0316392006,$20.40,$30.00,Science & Math,Nature & Ecology,In Stock.,https://www.amazon.com/dp/0316392006,5.0,Error in ISBN10
0345805976,The Billion Dollar Spy: A True Story of Cold War Espionage and Betrayal,David E. Hoffman,4.6,978-0345805973,0345805976,$11.52,$17.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/0345805976,5.0,Error in ISBN10
0385542763,"The Future of Humanity: Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond Earth",Michio Kaku,4.4,978-0385542760,0385542763,$16.36,$29.95,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0385542763,5.0,ASIN number not found
0393239616,Paper: Paging Through History,Mark Kurlansky,4.0,978-0393239614,0393239616,$18.59,$27.95,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0393239616,5.0,Error in ISBN10
0446541478,Start-up Nation: The Story of Israel's Economic Miracle,Dan Senor - Saul Singer,4.5,978-0446541473,0446541478,$8.99,$16.00,Business & Money,Job Hunting & Careers,In Stock.,https://www.amazon.com/dp/0446541478,5.0,ASIN number not found
0470876417,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers",Alexander Osterwalder - Yves Pigneur,4.5,978-0470876411,0470876417,$22.48,$34.95,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0470876417,5.0,Error in ISBN10
0470928077,Poorly Made in China: An Insider's Account of the China Production Game,Paul Midler,4.5,978-0470928073,0470928077,$16.84,$16.84,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/0470928077,5.0,Original price not found
0553418831,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,4.2,978-0553418835,0553418831,$10.87,$16.00,History,Americas,In Stock.,https://www.amazon.com/dp/0553418831,5.0,ASIN number not found
0553447459,Evicted: Poverty and Profit in the American City,Matthew Desmond,4.6,978-0553447453,0553447459,$11.55,$17.00,Politics & Social Sciences,Social Sciences,In Stock.,https://www.amazon.com/dp/0553447459,5.0,ASIN number not found
0669026816,Neighborhood Renewal: Middle-Class Resettlement and Incumbent Upgrading in American Neighborhoods,Phillip L. Clay,---,978-0669026818,0669026816,,,Politics & Social Sciences,Social Sciences,,https://www.amazon.com/dp/0669026816,5.0,Original price not found
0679721126,Reveille for Radicals,Saul Alinsky,3.9,978-0679721123,0679721126,$14.15,$16.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/0679721126,5.0,ASIN number not found
0684815036,History of Christianity,Paul Johnson,4.2,978-0684815039,0684815036,$19.79,$21.99,History,World,In Stock.,https://www.amazon.com/dp/0684815036,5.0,Error in ISBN10
0735211353,One Mission: How Leaders Build a Team of Teams,Chris Fussell - C. W. Goodyear - General Stanley McChrystal - & - more,4.8,978-0735211353,0735211353,$15.45,$27.00,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/0735211353,5.0,ASIN number not found
0743249275,"Lean Thinking: Banish Waste and Create Wealth in Your Corporation, Revised and Updated",James P. Womack - Daniel T. Jones,4.4,978-0743249270,0743249275,$23.20,$32.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0743249275,5.0,Error in ISBN10
0747588708,Sarah Raven's Garden Cookbook,Sarah Raven - Jonathan Buckley,5.0,978-0747588702,0747588708,$43.57,$43.57,Uncategorized,Uncategorized,Only 7 left in stock - order soon.,https://www.amazon.com/dp/0747588708,5.0,Category not found
0761186123,"Younger Next Year: The Exercise Program: Use the Power of Exercise to Reverse Aging and Stay Strong, Fit, and Sexy",Chris Crowley - Henry S. Lodge M.D. - Bill Fabrocini P.T. C.S.C.S. - & - more,4.4,978-0761186120,0761186123,$6.35,$10.95,"Health, Fitness & Dieting",Exercise & Fitness,In Stock.,https://www.amazon.com/dp/0761186123,5.0,ASIN number not found
0812988701,Rocket Men: The Daring Odyssey of Apollo 8 and the Astronauts Who Made Man's First Journey to the Moon,Robert Kurson,4.9,978-0812988703,0812988701,$15.92,$28.00,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0812988701,5.0,ASIN number not found
0814438016,Let the Story Do the Work: The Art of Storytelling for Business Success,Esther Choy,4.8,978-0814438015,0814438016,$13.97,$24.95,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/0814438016,5.0,Error in ISBN10
1118965833,"Big Data: Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance",Bernard Marr,3.7,978-1118965832,1118965833,$18.10,$22.00,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/1118965833,5.0,ASIN number not found
1119079675,Import / Export Kit For Dummies,John J. Capela,4.8,978-1119079675,1119079675,$18.35,$26.99,Business & Money,International,In Stock.,https://www.amazon.com/dp/1119079675,5.0,ASIN number not found
1119213711,What's Wrong with China,Paul Midler,4.4,978-1119213710,1119213711,$17.00,$25.00,Business & Money,Marketing & Sales,Only 4 left in stock (more on the way).,https://www.amazon.com/dp/1119213711,5.0,ASIN number not found
1250074312,"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor",Virginia Eubanks,4.2,978-1250074317,1250074312,$18.35,$26.99,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/1250074312,5.0,Error in ISBN10
1250078822,The Physics of Life: The Evolution of Everything,Adrian Bejan,4.2,978-1250078827,1250078822,$20.97,$27.99,Science & Math,Earth Sciences,Only 13 left in stock (more on the way).,https://www.amazon.com/dp/1250078822,5.0,ASIN number not found
1400034701,The General in His Labyrinth,Gabriel Garcia Marquez,4.1,978-1400034703,1400034701,$13.55,$16.95,Science Fiction & Fantasy,Fantasy,In Stock.,https://www.amazon.com/dp/1400034701,5.0,ASIN number not found
1421427028,Designing the New American University,Michael M. Crow - William B. Dabars,4.0,978-1421427027,1421427028,$23.26,$24.95,Education & Teaching,Higher & Continuing Education,Only 17 left in stock (more on the way).,https://www.amazon.com/dp/1421427028,5.0,ASIN number not found
1439155186,"The Oil Kings: How the U.S., Iran, and Saudi Arabia Changed the Balance of Power in the Middle East",Andrew Scott Cooper,4.6,978-1439155189,1439155186,$9.98,$20.00,Business & Money,Industries,Only 1 left in stock - order soon.,https://www.amazon.com/dp/1439155186,5.0,Error in ISBN10
1442650451,Gentrifier (UTP Insights),John Joe Schlichtman - Jason Patch - Marc Lamont Hill - Peter Marcuse - & - more,3.7,978-1442650459,1442650451,$22.23,$29.95,Politics & Social Sciences,Social Sciences,Usually ships within 1 to 3 months.,https://www.amazon.com/dp/1442650451,5.0,ASIN number not found
1451686579,Contagious: Why Things Catch On,Jonah Berger,4.5,978-1451686579,1451686579,$13.89,$26.00,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/1451686579,5.0,Error in ISBN10
1476784884,"The Mathematics of Love: Patterns, Proofs, and the Search for the Ultimate Equation (TED Books)",Hannah Fry,3.9,978-1476784885,1476784884,$13.88,$16.99,Science & Math,Mathematics,Available to ship in 1-2 days.,https://www.amazon.com/dp/1476784884,5.0,ASIN number not found
1476792097,Why?: What Makes Us Curious,Mario Livio,4.1,978-1476792095,1476792097,$14.88,$26.00,"New, Used & Rental Textbooks",Social Sciences,In Stock.,https://www.amazon.com/dp/1476792097,5.0,Error in ISBN10
1491514310,The Presentation Secrets of Steve Jobs: How to Be Insanely Great in Front of Any Audience,Carmine Gallo,4.5,978-1491514313,1491514310,$9.99,$9.99,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1491514310,5.0,Original price not found
1524758868,The Fourth Industrial Revolution,Klaus Schwab,4.1,978-1524758868,1524758868,$16.70,$28.00,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/1524758868,5.0,Error in ISBN10
1568584814,"Soccernomics: Why England Loses, Why Spain, Germany, and Brazil Win, and Why the U.S, Japan, Australiaand Even IraqAre Destined to Become the Kings of the Worlds Most Popular Sport",Simon Kuper - Stefan Szymanski,4.3,978-1568584812,1568584814,,,Business & Money,Industries,,https://www.amazon.com/dp/1568584814,5.0,Original price not found
1568585233,"How to Kill a City: Gentrification, Inequality, and the Fight for the Neighborhood",Peter Moskowitz,3.8,978-1568585239,1568585233,$18.35,$26.99,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/1568585233,5.0,ASIN number not found
1591847745,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,4.7,978-1591847748,1591847745,$13.59,$17.00,Arts & Photography,Graphic Design,In Stock.,https://www.amazon.com/dp/1591847745,5.0,ASIN number not found
1592405800,Borrowing Brilliance: The Six Steps to Business Innovation by Building on the Ideas of Others,David Kord Murray,4.5,978-1592405800,1592405800,$16.00,$16.00,Business & Money,Small Business & Entrepreneurship,In Stock.,https://www.amazon.com/dp/1592405800,5.0,Original price not found
1592406599,"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, an d 46 Other Ways You're Deluding Yourself",David McRaney,4.4,978-1592406593,1592406599,$41.00,$41.00,Politics & Social Sciences,Philosophy,Only 2 left in stock - order soon.,https://www.amazon.com/dp/1592406599,5.0,Original price not found
1592408796,"You are Now Less Dumb: How to Conquer Mob Mentality, How to Buy Happiness, and All the Other Ways to Outsmart Yourself",David McRaney,4.6,978-1592408795,1592408796,$15.27,$15.27,Humor & Entertainment,Humor,In Stock.,https://www.amazon.com/dp/1592408796,5.0,Original price not found
1594039895,The University We Need: Reforming American Higher Education,Warren Treadgold,3.7,978-1594039898,1594039895,$15.90,$23.99,Education & Teaching,Schools & Teaching,In Stock.,https://www.amazon.com/dp/1594039895,5.0,Error in ISBN10
1594201676,"While America Aged: How Pension Debts Ruined General Motors, Stopped the NYC Subways, Bankrupted San Diego, and Loom as the Next Financial Crisis",Roger Lowenstein,4.0,978-1594201677,1594201676,$21.54,$25.95,Business & Money,Personal Finance,Only 1 left in stock - order soon.,https://www.amazon.com/dp/1594201676,5.0,ASIN number not found
1594203512,On Grand Strategy,John Lewis Gaddis,3.8,978-1594203510,1594203512,$16.93,$26.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1594203512,5.0,ASIN number not found
1594205582,"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey West,4.2,978-1594205583,1594205582,$30.00,$30.00,Science & Math,Biological Sciences,In Stock.,https://www.amazon.com/dp/1594205582,5.0,Sale price not found
1594484805,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.4,978-1594484803,1594484805,$12.95,$16.00,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/1594484805,5.0,ASIN number not found
1594631905,To Sell Is Human: The Surprising Truth About Moving Others,Daniel H. Pink,4.4,978-1594631900,1594631905,$14.40,$16.00,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/1594631905,5.0,ASIN number not found
1599184478,"Start Your Own Photography Business: Studio, Freelance, Gallery, Events (StartUp Series)",Entrepreneur Press - Charlene Davis,4.2,978-1599184470,1599184478,,,"New, Used & Rental Textbooks",Humanities,,https://www.amazon.com/dp/1599184478,5.0,Original price not found
1599185288,"Start Your Own Cleaning Service: Maid Service, Janitorial Service, Carpet and Upholstery Service, and More (StartUp Series)",Jacquelyn Lynn - Entrepreneur magazine,3.8,978-1599185286,1599185288,$19.95,$19.95,"Crafts, Hobbies & Home",Home Improvement & Design,Temporarily out of stock. - Order now and we'll deliver when available. - Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item. - Details,https://www.amazon.com/dp/1599185288,5.0,Original price not found
1599186063,Start Your Own Import/Export Business: Your Step-By-Step Guide to Success (StartUp Series),The Staff of Entrepreneur Media,4.7,978-1599186061,1599186063,$15.22,$19.95,Business & Money,International,In Stock.,https://www.amazon.com/dp/1599186063,5.0,ASIN number not found
1601630328,CA$HVERTISING: How to Use More than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone,Drew Eric Whitman,4.8,978-1601630322,1601630328,$13.59,$15.99,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/1601630328,5.0,ASIN number not found
1603580557,Thinking in Systems: A Primer,Donella H. Meadows - Diana Wright,4.5,978-1603580557,1603580557,$17.92,$19.95,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/1603580557,5.0,ASIN number not found
1603585265,"The Permaculture City: Regenerative Design for Urban, Suburban, and Town Resilience",Toby Hemenway,5.0,978-1603585262,1603585265,$19.08,$24.95,"Crafts, Hobbies & Home",Gardening & Landscape Design,In Stock.,https://www.amazon.com/dp/1603585265,5.0,ASIN number not found
160358580X,"Systems Thinking For Social Change: A Practical Guide to Solving Complex Problems, Avoiding Unintended Consequences, and Achieving Lasting Results",David Peter Stroh,4.4,978-1603585804,160358580X,$18.69,$24.95,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/160358580X,5.0,ASIN number not found
1603587969,Doughnut Economics: Seven Ways to Think Like a 21st-Century Economist,Kate Raworth,4.6,978-1603587969,1603587969,$14.34,$18.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/1603587969,5.0,ASIN number not found
1607745585,"Restaurant Success by the Numbers, Second Edition: A Money-Guy's Guide to Opening the Next New Hot Spot",Roger Fields,4.5,978-1607745587,1607745585,$15.18,$17.00,Business & Money,Industries,In Stock.,https://www.amazon.com/dp/1607745585,5.0,Error in ISBN10
1607747308,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.4,978-1607747307,1607747308,$9.69,$16.99,"Crafts, Hobbies & Home",Home Improvement & Design,In Stock.,https://www.amazon.com/dp/1607747308,5.0,ASIN number not found
160819230X,The Age of Comfort: When Paris Discovered Casual--and the Modern Home Began,Joan DeJean,3.6,978-1608192304,160819230X,$18.00,$18.00,Arts & Photography,Architecture,In Stock.,https://www.amazon.com/dp/160819230X,5.0,Original price not found
160832253X,"The Simple Mechanics of Making More and Working Less (Revised 3rd Edition, 2019)",Sam Carpenter,4.4,978-1608322534,160832253X,$25.00,$25.00,Business & Money,Management & Leadership,Only 17 left in stock (more on the way).,https://www.amazon.com/dp/160832253X,5.0,Original price not found
1610397150,Other People's Money: The Real Business of Finance,John Kay,4.4,978-1610397155,1610397150,$11.87,$16.99,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/1610397150,5.0,Error in ISBN10
161039786X,Deep Thinking: Where Machine Intelligence Ends and Human Creativity Begins,Garry Kasparov - Mig Greengard,4.2,978-1610397865,161039786X,$14.80,$28.00,Computers & Technology,Computer Science,In Stock.,https://www.amazon.com/dp/161039786X,5.0,Error in ISBN10
1614276668,The Moral Sayings of Publius Syrus: A Roman Slave,Publilius Syrus,3.9,978-1614276661,1614276668,$6.95,$6.95,Literature & Fiction,Ancient & Medieval Literature,Only 13 left in stock (more on the way).,https://www.amazon.com/dp/1614276668,5.0,Original price not found
1617294489,D3.js in Action: Data visualization with JavaScript,Elijah Meeks,3.5,978-1617294488,1617294489,$37.71,$44.99,Computers & Technology,Web Development & Design,In Stock.,https://www.amazon.com/dp/1617294489,5.0,ASIN number not found
162315944X,"The Healthy Meal Prep Cookbook: Easy and Wholesome Meals to Cook, Prep, Grab, and Go",Toby Amidor,4.1,978-1623159443,162315944X,$12.79,$15.99,"Cookbooks, Food & Wine",Cooking Methods,In Stock.,https://www.amazon.com/dp/162315944X,5.0,ASIN number not found
1623365260,"Learn Better: Mastering the Skills for Success in Life, Business, and School, or, How to Become an Expert in Just About Anything",Ulrich Boser,4.2,978-1623365264,1623365260,$13.74,$24.99,"Health, Fitness & Dieting",Psychology & Counseling,In Stock.,https://www.amazon.com/dp/1623365260,5.0,ASIN number not found
1623365406,Level Up Your Life: How to Unlock Adventure and Happiness by Becoming the Hero of Your Own Story,Steve Kamb,4.7,978-1623365400,1623365406,$11.98,$19.99,Travel,Specialty Travel,In Stock.,https://www.amazon.com/dp/1623365406,5.0,Error in ISBN10
1628600586,Deskbound: Standing Up to a Sitting World,Kelly Starrett - Juliet Starrett - Glen Cordoza - & - more,4.7,978-1628600582,1628600586,$23.53,$39.95,"Health, Fitness & Dieting",Diseases & Physical Ailments,In Stock.,https://www.amazon.com/dp/1628600586,5.0,ASIN number not found
1631492853,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,4.8,978-1631492853,1631492853,$19.00,$27.95,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/1631492853,5.0,ASIN number not found
1640192425,Alexander the Great,Charles Mercer,3.9,978-1640192423,1640192425,$9.99,$9.99,History,Ancient Civilizations,In Stock.,https://www.amazon.com/dp/1640192425,5.0,Original price not found
1641520043,The Easy 5-Ingredient Healthy Cookbook: Simple Recipes to Make Healthy Eating Delicious,Toby Amidor,4.4,978-1641520041,1641520043,$11.74,$15.99,"Cookbooks, Food & Wine",Regional & International,In Stock.,https://www.amazon.com/dp/1641520043,5.0,ASIN number not found
1771642483,"The Hidden Life of Trees: What They Feel, How They CommunicateDiscoveries from A Secret World",Peter Wohlleben - Jane Billinghurst - Tim Flannery - & - more,4.6,978-1771642484,1771642483,$16.96,$24.95,Arts & Photography,Photography & Video,In Stock.,https://www.amazon.com/dp/1771642483,5.0,ASIN number not found
1885167776,The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller - Jay Papasan,4.7,978-1885167774,1885167776,$15.23,$24.95,Business & Money,Job Hunting & Careers,In Stock.,https://www.amazon.com/dp/1885167776,5.0,Error in ISBN10
190491537X,Confessions of an Advertising Man,David Ogilvy - Sir Alan Parker,4.4,978-1904915379,190491537X,$16.18,$19.95,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/190491537X,5.0,Error in ISBN10
1905177178,The Manipulated Man,Esther Vilar,4.4,978-1905177172,1905177178,$12.76,$15.95,Politics & Social Sciences,Social Sciences,In Stock.,https://www.amazon.com/dp/1905177178,5.0,ASIN number not found
1930824130,The Visual Display of Quantitative Information,Edward R. Tufte,4.4,978-1930824133,1930824130,$33.30,$37.00,Uncategorized,Uncategorized,In Stock.,https://www.amazon.com/dp/1930824130,5.0,Category not found
1933771712,"Get Your Business to Work!: 7 Steps to Earning More, Working Less and Living the Life You Want",George Hedley,4.6,978-1933771717,1933771712,$10.00,$10.00,Business & Money,Business Culture,,https://www.amazon.com/dp/1933771712,5.0,Sale price not found
1934356050,Pragmatic Thinking and Learning: Refactor Your Wetware (Pragmatic Programmers),Andy Hunt,4.5,978-1934356050,1934356050,$34.95,$34.95,Computers & Technology,Programming,In Stock.,https://www.amazon.com/dp/1934356050,5.0,Sale price not found
1936661837,Traction: Get a Grip on Your Business,Gino Wickman,4.6,978-1936661831,1936661837,$14.40,$16.95,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1936661837,5.0,ASIN number not found
1941870880,Tips of the Tongue: The Nonnative English Speaker's Guide to Mastering Public Speaking,Deborah Grayson Riegel - Ellen Dowling,5.0,978-1941870884,1941870880,$20.00,$20.00,Business & Money,Skills,In Stock.,https://www.amazon.com/dp/1941870880,5.0,Original price not found
1942788002,"The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations",Gene Kim - Patrick Debois - John Willis - Jez Humble - John Allspaw - & - more,4.6,978-1942788003,1942788002,$19.00,$27.95,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1942788002,5.0,ASIN number not found
194464881X,What the Heck Is EOS?: A Complete Guide for Employees in Companies Running on EOS,Gino Wickman - Tom Bouwer,4.5,978-1944648817,194464881X,$13.49,$19.95,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/194464881X,5.0,ASIN number not found
1983017035,The Decision Checklist: A Practical Guide to Avoiding Problems,Sam Kyle,4.3,978-1983017032,1983017035,$17.00,$17.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1983017035,5.0,Original price not found
1983065633,CSS Visual Dictionary,Greg Sidelnikov,4.6,978-1983065637,1983065633,$34.99,$34.99,Computers & Technology,Web Development & Design,In Stock.,https://www.amazon.com/dp/1983065633,5.0,Sale price not found
3981984110,EQ Applied: The Real-World Guide to Emotional Intelligence,Justin Bariso,4.9,978-3981984118,3981984110,$15.26,$16.95,Business & Money,Skills,In Stock.,https://www.amazon.com/dp/3981984110,5.0,ASIN number not found
9810967586,Platform Scale: How an emerging business model helps startups build large empires with minimum investment,Sangeet Paul Choudary,4.6,978-9810967581,9810967586,$29.99,$29.99,Business & Money,Processes & Infrastructure,In Stock.,https://www.amazon.com/dp/9810967586,5.0,Original price not found
B0007DSQ56,"Twelve against the gods: The story of adventure,",William Bolitho,4.2,---,B0007DSQ56,$424.00,$424.00,Uncategorized,Uncategorized,,https://www.amazon.com/dp/B0007DSQ56,5.0,Category not found
B000FC0SSC,Permission Marketing: Turning Strangers Into Friends And Friends Into Customers,Seth Godin,4.3,---,B000FC0SSC,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B000FC0SSC,5.0,Original price not found
B000FC11LK,The Essential Drucker: The Best of Sixty Years of Peter Drucker's Essential Writings on Management (Collins Business Essentials),Peter F. Drucker,4.5,---,B000FC11LK,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B000FC11LK,5.0,Original price not found
B000OZ0N62,The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity (2nd Edition),Alan Cooper,4.1,---,B000OZ0N62,,,Kindle eBooks,Computers & Technology,,https://www.amazon.com/dp/B000OZ0N62,5.0,Original price not found
B000QGES8I,The Last Days of the Incas,Kim MacQuarrie,4.7,---,B000QGES8I,,,Kindle eBooks,History,,https://www.amazon.com/dp/B000QGES8I,5.0,Original price not found
B000SEIBB8,Design Patterns: Elements of Reusable Object-Oriented Software (Addison-Wesley Professional Computing Series),Erich Gamma - Richard Helm - Ralph Johnson - John Vlissides - Grady Booch - & - more,4.5,---,B000SEIBB8,,,Kindle eBooks,Computers & Technology,,https://www.amazon.com/dp/B000SEIBB8,5.0,Original price not found
B0018ZWB08,Bodyguard of Lies Volume Two,Anthony Cave Brown,3.5,---,B0018ZWB08,$237.88,"$2,009.20",History,Military,Only 2 left in stock - order soon.,https://www.amazon.com/dp/B0018ZWB08,5.0,ISBN13 not found
B001NLL86U,Dangerous Games: The Uses and Abuses of History (Modern Library Chronicles Series Book 31),Margaret MacMillan,3.6,---,B001NLL86U,,,Kindle eBooks,Politics & Social Sciences,,https://www.amazon.com/dp/B001NLL86U,5.0,Original price not found
B003G93ZAY,City of Gold: Dubai and the Dream of Capitalism,Jim Krane,4.4,---,B003G93ZAY,,,Kindle eBooks,Politics & Social Sciences,,https://www.amazon.com/dp/B003G93ZAY,5.0,Original price not found
B004LRPJ3G,A Billion Wicked Thoughts: What the Internet Tells Us About Sexual Relationships,Ogi Ogas - Sai Gaddam,3.9,---,B004LRPJ3G,,,"Health, Fitness & Dieting",Psychology & Counseling,,https://www.amazon.com/dp/B004LRPJ3G,5.0,Original price not found
B005OMBTKY,The Universe Doesn't Give a Flying Fuck About You (Epic series Book 1),J. Truant,4.1,---,B005OMBTKY,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B005OMBTKY,5.0,Original price not found
B005WTR4ZI,"Race Against The Machine: How the Digital Revolution is Accelerating Innovation, Driving Productivity, and Irreversibly Transforming Employment and the Economy",Erik Brynjolfsson - Andrew McAfee,4.2,---,B005WTR4ZI,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B005WTR4ZI,5.0,Original price not found
B006G86KB8,"How to Start a Home-Based Catering Business, 5th (Home-Based Business Series)",Denise Vivaldo,4.4,---,0762738782,$4.01,$4.01,Business & Money,Job Hunting & Careers,,https://www.amazon.com/dp/B006G86KB8,5.0,Sale price not found
B007MKCQ30,The Price of Inequality: How Today's Divided Society Endangers Our Future,Joseph E. Stiglitz,4.4,---,B007MKCQ30,,,Politics & Social Sciences,Politics & Government,,https://www.amazon.com/dp/B007MKCQ30,5.0,Original price not found
B009O3ZN2Y,"Heroes, Gods and Monsters of the Greek Myths",Bernard Evslin,4.4,---,B009O3ZN2Y,,,Kindle eBooks,Teen & Young Adult,,https://www.amazon.com/dp/B009O3ZN2Y,5.0,Original price not found
B00BD6RFFS,"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers",Alexander Osterwalder - Yves Pigneur,4.3,978-0470876411,0470876417,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B00BD6RFFS,5.0,Original price not found
B00COOFBA4,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,4.7,---,B00COOFBA4,,,Kindle eBooks,Arts & Photography,,https://www.amazon.com/dp/B00COOFBA4,5.0,Original price not found
B00EBG9H8K,Bodyguard of Lies (2 Volume Set) : the Extraordinary True Story of the Clandestine War of Intricate Deceptions That Hid the Secrets of D-Day from Hitler [I II Two],Anthony Cave Brown,---,---,B00EBG9H8K,$54.97,$54.97,Uncategorized,Uncategorized,,https://www.amazon.com/dp/B00EBG9H8K,5.0,Category not found
B00OSVKAMU,How I Lost 170 Million Dollars: My Time as #30 at Facebook,Noah Kagan,4.3,---,B00OSVKAMU,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B00OSVKAMU,5.0,Original price not found
B00S1PRTL4,Become An Idea Machine: Because Ideas Are The Currency Of The 21st Century,Claudia Azula Altucher - James Altucher,4.1,---,B00S1PRTL4,,,Kindle eBooks,Business & Money,,https://www.amazon.com/dp/B00S1PRTL4,5.0,Original price not found
B00UDCNI2M,The Great Surge: The Ascent of the Developing World,Steven Radelet,4.1,---,B00UDCNI2M,,,Politics & Social Sciences,Politics & Government,,https://www.amazon.com/dp/B00UDCNI2M,5.0,Original price not found
