ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM SUBCATEGORY,ITEM SPECIFIC CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
1416553657,"Born Standing Up: A Comic's Life Paperback – September 2, 2008",Steve Martin,4.4,978-1416553656,1416553657,$9.98,$17.00,Biographies & Memoirs,Arts & Literature,In Stock.,https://www.amazon.com/dp/1416553657,36.0,ASIN number not found
1473613809,"Black Box Thinking: Marginal Gains and the Secrets of High Performance Paperback – April 7, 2016",Matthew Syed,4.6,978-1473613805,1473613809,$13.99,$13.99,Uncategorized,Uncategorized,In Stock.,https://www.amazon.com/dp/1473613809,36.0,Category not found
1592405800,"Borrowing Brilliance: The Six Steps to Business Innovation by Building on the Ideas of Others Paperback – October 5, 2010",David Kord Murray,4.5,978-1592405800,1592405800,$16.00,$16.00,Business & Money,Small Business & Entrepreneurship,In Stock.,https://www.amazon.com/dp/1592405800,36.0,Original price not found
0143121359,The Beginning of Infinity: Explanations That Transform the World Reprint Edition,David Deutsch,4.4,978-0143121350,0143121359,$19.00,$20.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0143121359,38.0,ISBN10 number error
0470560770,"Better Homes and Gardens New Cook Book Plastic Comb – April 10, 2012",Better Homes and Gardens,4.4,978-0470560778,0470560770,$9.52,$9.52,"Crafts, Hobbies & Home",Crafts & Hobbies,,https://www.amazon.com/dp/0470560770,38.0,Sale price not found
0812982401,"The Bed of Procrustes: Philosophical and Practical Aphorisms (Incerto) Paperback – October 25, 2016",Nassim Nicholas Taleb,3.9,978-0812982404,0812982401,$10.87,$16.00,Business & Money,Job Hunting & Careers,In Stock.,https://www.amazon.com/dp/0812982401,38.0,ASIN number not found
006177460X,"The 50th Law Imitation Leather – September 8, 2009",50 Cent,4.6,978-0061774607,006177460X,$14.99,$22.99,Arts & Photography,Music,In Stock.,https://www.amazon.com/dp/006177460X,40.0,ISBN10 number error
0062219693,"The Art of Thinking Clearly Paperback – May 6, 2014",Rolf Dobelli,4.0,978-0062219695,0062219693,$12.09,$16.99,"Health, Fitness & Dieting",Psychology & Counseling,In Stock.,https://www.amazon.com/dp/0062219693,40.0,ASIN number not found
0140280197,"The 48 Laws of Power Paperback – September 1, 2000",Robert Greene,4.5,978-0140280197,0140280197,$18.00,$20.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/0140280197,40.0,ASIN number not found
0142181110,"Average Is Over: Powering America Beyond the Age of the Great Stagnation Paperback – August 26, 2014",Tyler Cowen,3.7,978-0142181119,0142181110,$15.32,$17.00,Engineering & Transportation,Engineering,Only 8 left in stock (more on the way).,https://www.amazon.com/dp/0142181110,40.0,ASIN number not found
0195014456,"American Popular Song: The Great Innovators, 1900-1950 Hardcover – April 27, 1990",Alec Wilder,3.9,978-0195014457,0195014456,$57.81,$75.00,Arts & Photography,Music,Only 7 left in stock (more on the way).,https://www.amazon.com/dp/0195014456,40.0,ASIN number not found
0230120512,The Art of the Pitch: Persuasion and Presentation Skills that Win Business 2012th Edition,P. Coughter,4.6,978-0230120518,0230120512,$28.00,$28.00,Business & Money,Finance,In Stock.,https://www.amazon.com/dp/0230120512,40.0,Original price not found
0399563792,"Americana: A 400-Year History of American Capitalism Hardcover – September 26, 2017",Bhu Srinivasan,4.5,978-0399563799,0399563792,$18.60,$30.00,History,Americas,In Stock.,https://www.amazon.com/dp/0399563792,40.0,ASIN number not found
0451499085,"The Automatic Millionaire, Expanded and Updated: A Powerful One-Step Plan to Live and Finish Rich Paperback – December 27, 2016",David Bach,4.5,978-0451499080,0451499085,$12.81,$15.00,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/0451499085,40.0,ASIN number not found
0671028472,"The Apprenticeship of Duddy Kravitz Paperback – March 1, 1999",Mordecai Richler,3.4,978-0671028473,0671028472,$26.37,$26.37,Literature & Fiction,Contemporary,In Stock.,https://www.amazon.com/dp/0671028472,40.0,Original price not found
0747588708,"Sarah Raven's Garden Cookbook Hardcover – June 4, 2007",Sarah Raven,5.0,978-0747588702,0747588708,$31.16,$31.16,Uncategorized,Uncategorized,,https://www.amazon.com/dp/0747588708,40.0,Category not found
1137279869,Agency: Starting a Creative Firm in the Age of Digital Marketing (Advertising Age) 2015th Edition,Rick Webb,4.6,978-1137279866,1137279869,$23.51,$30.00,Business & Money,Marketing & Sales,Only 16 left in stock (more on the way).,https://www.amazon.com/dp/1137279869,40.0,ASIN number not found
1250074312,"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor Hardcover – January 23, 2018",Virginia Eubanks,4.2,978-1250074317,1250074312,$18.35,$26.99,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/1250074312,40.0,ISBN10 number error
1449361323,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking 1st Edition,Foster Provost,4.5,978-1449361327,1449361323,$37.99,$39.99,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/1449361323,40.0,ISBN10 number error
1623365260,"Learn Better: Mastering the Skills for Success in Life, Business, and School, or, How to Become an Expert in Just About Anything Hardcover – March 7, 2017",Ulrich Boser,4.2,978-1623365264,1623365260,$13.74,$24.99,"Health, Fitness & Dieting",Psychology & Counseling,In Stock.,https://www.amazon.com/dp/1623365260,40.0,ASIN number not found
1640192425,"Alexander the Great Paperback – July 4, 2018",Charles Mercer,3.9,978-1640192423,1640192425,$9.99,$9.99,History,Ancient Civilizations,In Stock.,https://www.amazon.com/dp/1640192425,40.0,Original price not found
