ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM SUBCATEGORY,ITEM SPECIFIC CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0787956317,"Cybermedicine: How Computing Empowers Doctors and Patients for Better Care Paperback – August 16, 2001",Warner V. Slack,4.1,978-0787956318,0787956317,$13.37,$13.37,Reference,Encyclopedias & Subject Guides,,https://www.amazon.com/dp/0787956317,16.0,Sale price not found
0802719910,"An Edible History of Humanity Paperback – April 27, 2010",Tom Standage,4.0,978-0802719911,0802719910,$14.45,$18.00,"Cookbooks, Food & Wine",Cooking Education & Reference,In Stock.,https://www.amazon.com/dp/0802719910,16.0,ASIN number not found
0812975219,"Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto) Paperback – August 23, 2005",Nassim Nicholas Taleb,4.2,978-1587991905,0812975219,$14.25,$18.00,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/0812975219,16.0,ISBN10 number error
0813342783,"A Conspiracy Of Decency: The Rescue Of The Danish Jews During World War II Paperback – October 26, 2004",Emmy E. Werner,4.8,978-0813342788,0813342783,$15.56,$15.56,History,World,In Stock.,https://www.amazon.com/dp/0813342783,16.0,Original price not found
0881792063,The Elements of Typographic Style 3rd Edition,Robert Bringhurst,4.6,978-0881792065,0881792063,,,Arts & Photography,Graphic Design,,https://www.amazon.com/dp/0881792063,16.0,Original price not found
0961392118,Envisioning Information,Edward R. Tufte,4.5,978-0961392116,0961392118,$38.35,$48.00,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/0961392118,16.0,ISBN10 number error
0997560304,"Standard Work is a Verb:: A Playbook for LEAN Manufacturing Paperback – June 4, 2016",John Allwood,4.9,978-0997560305,0997560304,$19.95,$19.95,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/0997560304,16.0,Original price not found
1101903201,"The Startup Way: How Modern Companies Use Entrepreneurial Management to Transform Culture and Drive Long-Term Growth Hardcover – October 17, 2017",Eric Ries,4.3,978-1101903209,1101903201,$20.40,$30.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1101903201,16.0,ASIN number not found
1101981113,"World Without Mind: The Existential Threat of Big Tech Hardcover – September 12, 2017",Franklin Foer,4.0,978-1101981115,1101981113,$15.18,$27.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/1101981113,16.0,ASIN number not found
1107156610,A Fortunate Universe: Life in a Finely Tuned Cosmos 1st Edition,Geraint F. Lewis,4.0,978-1107156616,1107156610,$25.19,$28.95,"New, Used & Rental Textbooks",Science & Mathematics,In Stock.,https://www.amazon.com/dp/1107156610,16.0,ASIN number not found
1119079675,"Import / Export Kit For Dummies Paperback – October 2, 2015",John J. Capela,4.8,978-1119079675,1119079675,$18.35,$26.99,Business & Money,International,In Stock.,https://www.amazon.com/dp/1119079675,16.0,ASIN number not found
1250033314,"The Fish That Ate the Whale: The Life and Times of America's Banana King Paperback – June 4, 2013",Rich Cohen,4.3,978-1250033314,1250033314,$7.28,$18.00,History,Americas,In Stock.,https://www.amazon.com/dp/1250033314,16.0,ASIN number not found
1250107814,"Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think Hardcover – April 3, 2018",Hans Rosling,4.7,978-8925598185,1250107814,$17.63,$27.99,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/1250107814,16.0,ASIN number not found
1250108691,"The Complacent Class: The Self-Defeating Quest for the American Dream Hardcover – February 28, 2017",Tyler Cowen,3.7,978-1250108692,1250108691,$15.63,$28.99,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/1250108691,16.0,ISBN10 number error
1328710289,"TED Talks: The Official TED Guide to Public Speaking Paperback – April 4, 2017",Chris Anderson,4.6,978-1328710284,1328710289,$10.87,$15.99,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1328710289,16.0,ASIN number not found
1400034701,"The General in His Labyrinth Paperback – October 7, 2003",Gabriel Garcia Marquez,4.1,978-1400034703,1400034701,$13.55,$16.95,Science Fiction & Fantasy,Fantasy,In Stock.,https://www.amazon.com/dp/1400034701,16.0,ASIN number not found
1421427028,"Designing the New American University Paperback – October 7, 2018",Michael M. Crow,4.0,978-1421427027,1421427028,$23.26,$24.95,Education & Teaching,Higher & Continuing Education,Only 10 left in stock (more on the way).,https://www.amazon.com/dp/1421427028,16.0,ASIN number not found
1432837818,"The Gene: An Intimate History Paperback – Large Print, April 18, 2017",Siddhartha Mukherjee,4.7,978-1432837815,1432837818,$12.23,$18.00,Medical Books,Medicine,In Stock.,https://www.amazon.com/dp/1432837818,16.0,ASIN number not found
1442650451,"Gentrifier (UTP Insights) Hardcover – April 3, 2017",John Joe Schlichtman,3.7,978-1442650459,1442650451,$20.79,$29.95,Politics & Social Sciences,Social Sciences,Only 6 left in stock - order soon.,https://www.amazon.com/dp/1442650451,16.0,ASIN number not found
1451686579,"Contagious: Why Things Catch On Hardcover – March 5, 2013",Jonah Berger,4.5,978-1451686579,1451686579,$13.99,$26.00,Business & Money,Marketing & Sales,Only 1 left in stock - order soon.,https://www.amazon.com/dp/1451686579,16.0,ISBN10 number error
1452144389,"The Egyptian Book of the Dead: The Book of Going Forth by Day: The Complete Papyrus of Ani Featuring Integrated Text and Full-Color Images Paperback – January 20, 2015",Ogden Goelet,4.6,978-1452144382,1452144389,$25.34,$35.00,History,World,In Stock.,https://www.amazon.com/dp/1452144389,16.0,ASIN number not found
1455509124,"So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love Hardcover – September 18, 2012",Cal Newport,4.4,978-1455509126,1455509124,$20.23,$26.00,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/1455509124,16.0,ASIN number not found
1524758868,"The Fourth Industrial Revolution Hardcover – January 3, 2017",Klaus Schwab,4.1,978-1524758868,1524758868,$17.83,$28.00,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/1524758868,16.0,ISBN10 number error
1583335307,"Budget Bytes: Over 100 Easy, Delicious Recipes to Slash Your Grocery Bill in Half Paperback – February 4, 2014",Beth Moncel,4.6,978-1583335307,1583335307,$15.12,$18.00,Business & Money,Personal Finance,In Stock.,https://www.amazon.com/dp/1583335307,16.0,ASIN number not found
1590519299,"Berlin 1936: Sixteen Days in August Hardcover – February 6, 2018",Oliver Hilmes,3.9,978-1590519295,1590519299,$15.11,$24.95,History,Europe,In Stock.,https://www.amazon.com/dp/1590519299,16.0,ISBN10 number error
1591843472,"The Score Takes Care of Itself: My Philosophy of Leadership Paperback – June 29, 2010",Bill Walsh,4.7,978-1591843474,1591843472,$14.45,$17.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1591843472,16.0,ASIN number not found
1591845823,"Built to Sell: Creating a Business That Can Thrive Without You Paperback – December 24, 2012",John Warrillow,4.7,978-1591845829,1591845823,$13.19,$16.00,Business & Money,Small Business & Entrepreneurship,In Stock.,https://www.amazon.com/dp/1591845823,16.0,ASIN number not found
1591848261,"Anything You Want: 40 Lessons for a New Kind of Entrepreneur Hardcover – September 15, 2015",Derek Sivers,4.7,978-1591848264,1591848261,$13.42,$19.95,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/1591848261,16.0,ASIN number not found
1592406599,"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, an d 46 Other Ways You're Deluding Yourself Hardcover – October 27, 2011",David McRaney,4.4,978-1592406593,1592406599,$40.83,$40.83,Politics & Social Sciences,Philosophy,Only 1 left in stock - order soon.,https://www.amazon.com/dp/1592406599,16.0,Original price not found
1594039895,"The University We Need: Reforming American Higher Education Hardcover – July 10, 2018",Warren Treadgold,3.7,978-1594039898,1594039895,$15.90,$23.99,Education & Teaching,Schools & Teaching,In Stock.,https://www.amazon.com/dp/1594039895,16.0,ISBN10 number error
1601630328,"CA$HVERTISING: How to Use More than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone Paperback – November 15, 2008",Drew Eric Whitman,4.8,978-1601630322,1601630328,$13.59,$15.99,Business & Money,Marketing & Sales,In Stock.,https://www.amazon.com/dp/1601630328,16.0,ASIN number not found
1617294489,D3.js in Action: Data visualization with JavaScript 2nd Edition,Elijah Meeks,3.5,978-1617294488,1617294489,$41.78,$44.99,Computers & Technology,Web Development & Design,In Stock.,https://www.amazon.com/dp/1617294489,16.0,ASIN number not found
1628600586,"Deskbound: Standing Up to a Sitting World Hardcover – April 26, 2016",Kelly Starrett,4.7,978-1628600582,1628600586,$27.16,$39.95,"Health, Fitness & Dieting",Diseases & Physical Ailments,In Stock.,https://www.amazon.com/dp/1628600586,16.0,ASIN number not found
1631492853,The Color of Law: A Forgotten History of How Our Government Segregated America 1st Edition,Richard Rothstein,4.8,978-1631492853,1631492853,$27.95,$27.95,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/1631492853,16.0,Sale price not found
1641520043,"The Easy 5-Ingredient Healthy Cookbook: Simple Recipes to Make Healthy Eating Delicious Paperback – April 3, 2018",Toby Amidor,4.4,978-1641520041,1641520043,$14.39,$15.99,"Cookbooks, Food & Wine",Regional & International,In Stock.,https://www.amazon.com/dp/1641520043,16.0,ASIN number not found
1885167776,"The ONE Thing: The Surprisingly Simple Truth Behind Extraordinary Results Hardcover – April 1, 2013",Gary Keller,4.7,978-1885167774,1885167776,$17.43,$24.95,Business & Money,Job Hunting & Careers,In Stock.,https://www.amazon.com/dp/1885167776,16.0,ISBN10 number error
190491537X,"Confessions of an Advertising Man Paperback – January 1, 2012",David Ogilvy,4.4,978-1904915379,190491537X,$19.56,$19.56,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/190491537X,16.0,Original price not found
1933771712,"Get Your Business to Work!: 7 Steps to Earning More, Working Less and Living the Life You Want Hardcover – June 30, 2009",George Hedley,4.6,978-1933771717,1933771712,$10.00,$10.00,Business & Money,Business Culture,,https://www.amazon.com/dp/1933771712,16.0,Sale price not found
1983065633,CSS Visual Dictionary,Greg Sidelnikov,4.6,978-1983065637,1983065633,$34.99,$34.99,Computers & Technology,Web Development & Design,In Stock.,https://www.amazon.com/dp/1983065633,16.0,Sale price not found
3981984110,"EQ Applied: The Real-World Guide to Emotional Intelligence Paperback – May 17, 2018",Justin Bariso,4.9,978-3981984118,3981984110,$16.95,$16.95,Business & Money,Skills,In Stock.,https://www.amazon.com/dp/3981984110,16.0,Original price not found
